Sigla OACI;DescriÁ„o;Cidade;UF;PaÌs;Continente
KDOV;DOVER AIR FORCE BASE;DOVER;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KDTW;DETROIT METROPOLITAN WAYNE COUNTY AIRPORT;DETROIT;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KELP;EL PASO INTERNATIONAL AIRPORT;EL PASONTL NY;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KEWR;NEWARK LIBERTY INTERNATIONAL AIRPORT;NEWARK / INTL NJ;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KFFL;FAIRFIELD MUNICIPAL AIRPORT;;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KFLL;FORT LAUDERDALE-HOLLYWOOD INTERNATIONAL AIRPORT;FORT LAUDERDALE;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KGSO;PIEDMONT TRIAD INTERNATIONAL AIRPORT;PIEDMONT TRIAD INTL;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KGTF;GREAT FALLS INTERNATIONAL AIRPORT;GREAT FALLS;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KGWO;GREENWOOD-LEFLORE AIRPORT;CARROLL COUNTY, MISSISSIPPI;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KGYR;GOODYEAR MUNICIPAL AIRPORT;PHOENIX GOODYEAR;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KHOU;WILLIAM P. HOBBY AIRPORT;HOUSTON;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KHSV;HUNTSVILLE INTERNATIONAL AIRPORT (CARL T. JONES FIELD);HUNTSVILLE;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KIAB;MCCONNELL AIR FORCE BASE;WHICHITA;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KIAD;WASHINGTON DULLES INTERNATIONAL AIRPORT;WASHINGTON/DULLES INTL;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
